policy_id,event_date,jurisdiction,policy_name,key_change,impact_on_cables,affected_regions,source_url
25,2026-04-14,International,ICPC 2026 Plenary (Athens),Theme: “Collaboration to Protect Global Connectivity”,Best practices and regulation session,All regions,https://www.iscpc.org/events/2026-plenary-meeting/
26,2026-01-30,US,FCC Foreign Adversary Attestation Rules effective for Schedule A (subsea included),Initial attestations due,Heightened national security reporting for submarine cables,U.S. & Canada,https://www.gtlaw.com/en/insights/2026/2/fcc-adopts-new-foreign-adversary-attestation-and-disclosure-rules-impacting-satellite-operators-and-submarine-cable-landing-licensees
27,2025-12-29,India,DoT security clearance compliance required for new satcom & cable-related services,Spectrum allocation only after clearances,Impacts cable landing station expansions,Asia; India,https://www.communicationstoday.co.in/satcom-services-to-be-rolled-only-after-security-clearance-compliance/
28,2025-02-17,India,TRAI Recommendations on Licensing Framework for Submarine Cable Landing (updated 2025 implementation),Main CLS + CLS PoP categories; dark fiber extensions allowed,Streamlined permissions + security safeguards,Asia; India,https://www.trai.gov.in/sites/default/files/2025-02/Recommendations_17022025.pdf
29,2025-11-03,US,New Submarine Cable Rules Take Effect Nov. 26 (SubTel Forum summary),Final enforcement of FCC 25-49,Accelerated buildout with security, U.S. & Canada,https://subtelforum.com/new-submarine-cable-rules-take-effect-nov-26/
30,2026-02-09,US,FCC adopts Foreign Adversary Control RO (GN 25-166),Broad attestation requirements for subsea licensees,Annual foreign-adversary reports mandatory,U.S. & Canada,https://www.jdsupra.com/legalnews/fcc-to-require-foreign-adversary-9256847/
31,2025-08-09,US,FCC updates subsea cable regulations (IEEE summary),Repeals outdated rules + new cybersecurity mandates,Operators must certify risk management plans,U.S. & Canada,https://techblog.comsoc.org/2025/08/09/fcc-updates-subsea-cable-regulations-repeals-98-outdated-broadcast-rules-and-regulations/
32,2025-08-11,US,FCC rules support more subsea cables with less foreign investment (Data Center Knowledge),Presumption of denial for foreign adversaries,Incentivizes trusted (non-Chinese) buildout,Global cables touching US,https://www.datacenterknowledge.com/infrastructure/fcc-rules-support-more-subsea-cables-with-less-foreign-investment
33,2026-02-24,India,TRAI Chairman statement on conducive environment for submarine cable investments,60% YoY lit capacity growth to 309 Tbps,Focus on security clearances + CLS infrastructure,Asia; India,https://telecom.economictimes.indiatimes.com/news/policy/india-seeks-to-create-conducive-environment-for-submarine-cable-investments-says-trais-ak-lahoti/128743861
34,2025-11-20,US,Congress testimony on Undersea Cable Protection Act of 2025 (H.R. 261 / S. 2873),Bills to eliminate duplicative permitting,Streamlines federal approvals for cables and repairs,U.S. & Canada,https://homeland.house.gov/wp-content/uploads/2025/11/2025-11-20-HRG-TMSCIP-Testimony.pdf
35,2026-02-02,International,ITU International Submarine Cable Resilience Summit (Porto),Summit Declaration expected,Global cooperation on permits and resilience,Global,https://www.itu.int/digital-resilience/submarine-cables/events/about-porto-summit/
36,2025-10-28,US,FCC DA 25-934 – effective date announcement,Partial rules take effect immediately,Streamlined process for non-adversary applicants,U.S. & Canada,https://docs.fcc.gov/public/attachments/DA-25-934A1.pdf
37,2025-03-14,US,FCC proposes new cybersecurity mandates (Industrial Cyber),Cyber risk management plans required for applicants,All subsea applicants must certify plans,U.S. & Canada,https://industrialcyber.co/regulation-standards-and-compliance/fcc-proposes-new-cybersecurity-mandates-for-submarine-cable-operators-in-major-rule-review-seeks-public-input/
38,2024-12-23,International,UN Submarine Cable Advisory Group formed,First UN-level body for cable resilience,Develops global agreements on protection,Global,https://www.lightreading.com/cable-technology/2024-in-review-submarine-cables-become-a-battleground
39,2026-01-30,US,FCC Foreign Adversary Control Order adopted,Schedule A (subsea) requires definitive attestations,Heightened disclosure for foreign control,U.S. & Canada,https://www.gtlaw.com/en/insights/2026/2/fcc-adopts-new-foreign-adversary-attestation-and-disclosure-rules-impacting-satellite-operators-and-submarine-cable-landing-licensees
40,2026-02-05,EU,Expert Group Report: Submarine Cable Security Toolbox,Mapping + stress-test guidance released,Recommended surveillance and funding,Europe; Global,https://digital-strategy.ec.europa.eu/en/library/submarine-cable-security-toolbox-and-cable-projects-european-interest
41,2025-12-12,International,ICPC Recommendations updated,Latest best practices for cable protection,Promotes spatial separation and resilience,Global,https://www.iscpc.org/publications/recommendations/
42,2025-11-13,International,Internet Society Policy Brief on Submarine Resilience,Recommends mapping, diversity, and public-private collaboration,Global resilience framework,Global,https://www.internetsociety.org/resources/policybriefs/2025/enhancing-the-resilience-of-submarine-internet-infrastructure/
43,2026-03-03,EU,CENTR EU Policy Update – February 2026,NIS2 + Cable Action Plan implementation tracking,Enforcement accelerating,Europe,https://www.centr.org/news/eu-updates/eu-policy-update---february-2026.html
44,2025-09-03,US,Troutman Pepper analysis of FCC Order,New era of compliance for submarine cables,Operators face SLTE and foreign adversary rules,U.S. & Canada,https://www.troutman.com/insights/unpacking-a-new-era-of-compliance-for-submarine-cables/
45,2026-02-10,EU,CEF Digital amended with €347M for submarine projects,Repair modules + SMART cables funded,Strategic resilience investment,Europe; Global,https://blue-economy-observatory.ec.europa.eu/news/eu347-million-protect-europes-submarine-cables-2026-02-11_en
46,2025-10-31,Australia,ACMA enlarges Sydney Submarine Cable Protection Zone,Variation for Tabua cable approved,Extended southern boundary,Australia; Oceania,https://www.submarinenetworks.com/en/nv/insights/acmc-enlarges-sydney-submarine-cable-protection-zone
47,2025-12-09,Australia,Vocus seeks four new submarine cable protection zones,Lobbying to double number of zones,Expanded protection nationwide,Australia; Oceania,https://www.itnews.com.au/news/vocus-seeks-four-new-submarine-cable-protection-zones-622081
48,2026-02-26,EU,Submarine Cable Security Toolbox detailed analysis,Regulatory frameworks (SM05) strengthened,NIS2 + CER harmonisation,Europe; Global,https://www.submarinenetworks.com/en/nv/insights/eu-submarine-cable-security-toolbox
49,2025-08-09,US,FCC repeals 98 outdated broadcast rules while updating subsea,Deletes obsolete rules + adds cybersecurity mandates,Modernised oversight,U.S. & Canada,https://techblog.comsoc.org/2025/08/09/fcc-updates-subsea-cable-regulations-repeals-98-outdated-broadcast-rules-and-regulations/
50,2025-11-20,US,Undersea Cable Protection Act of 2025 introduced (Congress),Eliminates duplicative permitting for cables,Streamlines federal approvals,U.S. & Canada,https://homeland.house.gov/wp-content/uploads/2025/11/2025-11-20-HRG-TMSCIP-Testimony.pdf
51,2026-02-24,EU,NIS2 extended scope proposal for SDTI,Submarine Data Transmission Infrastructure explicitly in scope,Harmonised cybersecurity obligations,Europe; Global,https://www.technologyslegaledge.com/2026/02/nis2s-extended-scope-takes-a-deep-dive-unpacking-the-eu-commissions-proposed-expansion-to-submarine-data-transmission-infrastructure/
52,2026-02-11,EU,€347 million investment announced for Europe’s submarine cables,CEF Digital calls open for repair capacities,Boost to emergency response and backbone resilience,Europe; Global,https://digital-strategy.ec.europa.eu/en/news/commission-increases-submarine-cable-security-eu347-million-investment-and-new-toolbox
53,2026-03-14,Global,Current date reference – all above policies active or in force as of today,March 2026 status,Full enforcement wave underway across US/EU/Australia,Global,N/A
54,2025-06-21,India,TRAI recommends declaring subsea & CLS infra as critical services,Earlier foundational recommendation now being implemented,Security clearances and licensing streamlined,Asia; India,https://www.lightreading.com/cable-technology/indian-regulator-recommends-declaring-subsea-and-cls-infra-as-critical-services
55,2026-02-17,India,TRAI 2025 updated recommendations on submarine cable licensing,Main CLS + PoP framework + dark fiber extensions,Conducive environment for investment,Asia; India,https://www.trai.gov.in/sites/default/files/2025-02/Recommendations_17022025.pdf
